# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	2230
#@/user_id	5b6267af-6f98-4b37-bfcd-c62aa7d6ebbc
a 	啊	c=5 d=4.64539 t=2230
an 	按	c=2 d=1.78775 t=2230
an jian 	按键	c=1 d=0.955997 t=2230
an ni 	按你	c=1 d=0.852144 t=2230
an niu 	按钮	c=13 d=5.31586 t=2230
an se 	暗色	c=2 d=1.89776 t=2230
an shi da 	安师大	c=3 d=2.98963 t=2230
an shi da da sheng de 	安师大大声的	c=1 d=0.980199 t=2230
an zhuang 	安装	c=4 d=2.44549 t=2230
ba 	吧	c=2 d=1.68836 t=2230
ba 	把	c=11 d=5.90968 t=2230
ba shou 	把手	c=1 d=0.965605 t=2230
ba ta men 	把他们	c=1 d=0.740818 t=2230
bai 	白	c=2 d=1.93678 t=2230
bai fen bi 	百分比	c=1 d=0.71177 t=2230
bai kuai 	百块	c=1 d=0.937067 t=2230
bai se 	白色	c=1 d=0.904837 t=2230
ban 	板	c=3 d=1.97578 t=2230
bang wo 	帮我	c=8 d=5.12633 t=2230
bang wo wo 	帮我我	c=1 d=0.882497 t=2230
bao cun wei 	保存为	c=0 d=0.097531 t=2230
bao cun wei wei zhi 	保存为位置	c=1 d=0.980199 t=2230
bao cuo 	报错	c=9 d=5.99526 t=2230
bao han 	包含	c=1 d=0.900325 t=2230
bao liu 	保留	c=1 d=0.904837 t=2230
bei 	被	c=5 d=3.22399 t=2230
bei jing 	背景	c=2 d=1.68742 t=2230
bei jing mo hu 	背景模糊	c=2 d=1.99005 t=2230
bei zhu 	备注	c=1 d=0.97531 t=2230
ben di 	本地	c=1 d=0.985112 t=2230
ben lai 	本来	c=2 d=1.78917 t=2230
bi lu ren 	秘鲁人	c=1 d=0.995012 t=2230
bi zhi 	壁纸	c=2 d=1.90737 t=2230
bian 	变	c=2 d=1.54259 t=2230
bian cheng 	变成	c=2 d=1.77275 t=2230
bian cu 	变粗	c=1 d=0.941765 t=2230
bian de 	变得	c=1 d=0.937067 t=2230
bian hua 	变化	c=1 d=0.83527 t=2230
bian ji 	编辑	c=1 d=1 t=2230
bian kuang 	边框	c=2 d=1.69197 t=2230
bie 	别	c=1 d=0.774916 t=2230
bie shuo 	别说	c=0 d=0.0946485 t=2230
bing 	并	c=2 d=1.75884 t=2230
bing fei 	并非	c=1 d=0.965605 t=2230
bu 	不	c=7 d=3.87625 t=2230
bu 	布	c=1 d=0.99005 t=2230
bu bao cuo 	不报错	c=1 d=0.900325 t=2230
bu bian 	不变	c=1 d=0.729789 t=2230
bu dao 	不到	c=2 d=1.78272 t=2230
bu dong le 	不动了	c=1 d=0.869358 t=2230
bu gai 	不改	c=2 d=1.79169 t=2230
bu guan 	不管	c=2 d=1.18919 t=2230
bu hao kan 	不好看	c=10 d=6.73611 t=2230
bu hui 	不会	c=2 d=1.70731 t=2230
bu hui xie 	不回血	c=1 d=0.995012 t=2230
bu ju 	布局	c=1 d=0.918512 t=2230
bu liao 	不了	c=1 d=1 t=2230
bu mai 	不卖	c=2 d=1.79069 t=2230
bu neng 	不能	c=17 d=5.41722 t=2230
bu rang 	不让	c=1 d=0.927743 t=2230
bu sheng xiao 	不生效	c=2 d=1.39378 t=2230
bu shi 	不是	c=4 d=3.05523 t=2230
bu shi yong 	不使用	c=1 d=0.980199 t=2230
bu suan 	不算	c=1 d=0.97531 t=2230
bu wan le 	不玩了	c=1 d=0.995012 t=2230
bu xi huan 	不喜欢	c=0 d=0.0918512 t=2230
bu xian shi 	不显示	c=7 d=5.42028 t=2230
bu xiang yao 	不想要	c=1 d=0.913931 t=2230
bu xing 	不行	c=7 d=4.41706 t=2230
bu yao 	不要	c=17 d=8.85409 t=2230
bu yi yang 	不一样	c=1 d=0.891366 t=2230
bu yong 	不用	c=1 d=0.882497 t=2230
bu zai 	不在	c=1 d=0.869358 t=2230
bu zhi dao 	不知道	c=4 d=3.03789 t=2230
